IRAS,    Name,    RA, DE,   Cat, H-Ks(e), W1-W3(e),    Teff,    LIR, Porb,    ecc, yes/no, [Fe/H],  [Zn/Ti], TTurnOff,    Ref
# -   -   hhm-Desmet- magnetarmag k%  D-  -   Sunsun  k-
IRAS01427+4633,  [BD+46.442],            01 45 47.03   , +46 49 00.97  , Cat. 1,        0.46 0.07, 2.83 0.05,  6250,   16,  140.82 , 0.0 , no , -0.7, -0.2 ,     , h
IRAS04166+5719,  [TW Cam],               04 20 48.1    , +57 26 26.    , Cat. 1,        0.57 0.05, 3.01 0.08,  4800,   46,  662.2  , 0.25, yes, -0.5,  0.3 , 1100, a
IRAS04440+2605,  [RV Tau],               04 47 06.8    , +26 10 44.    , Cat. 1,        0.61 0.03, 3.67 0.09,  4500,   39, 1198.0  ,     , yes, -0.4,  0.5 , 1100, a
IRAS06160-1701,  [UY CMa],               06 18 16.367  , -17 02 34.72  , Cat. 1,        0.59 0.06, 3.84 0.04,  5500,   69,         ,     , no ,  0.0,  1.8 , 1000, a
              ,  [EZ Gem],               06 46 04.47   , +13 05 02.4   , Cat. 1,        0.77     , 2.43 0.03,  6555,   53,         ,     , no ,  0.0,      ,     , b
IRAS06489-0118,  [SZ Mon],               06 51 27.8362 , -01 22 16.018 , Cat. 1,        0.55 0.07, 3.05 0.04,  4700,   38,         ,     , no , -0.4,  0.8 , 1500, b
IRAS07008+1050,  [HD52961],              07 03 39.6314 , +10 46 13.067 , Cat. 1,        0.45 0.04, 2.13 0.08,  6000,   16, 1288.6  , 0.23, yes, -4.8,  3.0 , 1100, a
IRAS07140-2321,  [SAO173329],            07 16 08.271  , -23 27 01.61  , Cat. 1,        0.56 0.04, 3.64 0.04,  7000,   33,  115.9  , 0.0 , no , -0.8, -0.1 ,     , a
IRAS08005-2356,  [V510 Pup],             08 00 32.63   , -23 56 15.    , Cat. 1,        1.01 0.04, 3.66 0.09,  7000,   67, 2654.0  , 0.36, no , -1.0,      ,     , m
IRAS08544-4431,  [V390 Vel],             08 56 14.182  , -44 43 10.73  , Cat. 1,        0.97 0.25, 3.14 0.4 ,  7250,   29,  501.1  , 0.2 , no , -0.5,  0.9 , 1200, a
IRAS09060-2807,  [BZ Pyx],               09 08 10.1    , -28 19 10.    , Cat. 1,        0.99 0.05, 2.91 0.06,  6500,   74,  372.0  ,     , yes, -0.5,  0.2 ,     , a
IRAS09144-4933,  [],                     09 16 09.1    , -49 46 06.    , Cat. 1,        0.71 0.04, 3.43 0.08,  5750,   78, 1762.0  , 0.3 , no , -0.5,      , 1400, a
IRAS09256-6324,  [IW Car],               09 26 53.4    , -63 37 48.    , Cat. 1,        0.69 0.26, 3.71 0.2 ,  6700,   87, 1449.0  ,     , yes, -1.0,  2.1 , 1100, a
IRAS09538-7622,  [GP Cha],               09 53 58.5    , -76 36 53.    , Cat. 1,        0.8  0.05, 3.0  0.05,  5500,   95,         ,     , yes, -0.5,  0.0 ,     , a
IRAS10158-2844,  [HR4049],               10 18 07.5903 , -28 59 31.201 , Cat. 1,        1.0  0.3 , 2.73 0.12,  7500,   26,  430.6  , 0.3 , yes, -4.5,      ,  800, a
IRAS11000-6153,  [HD95767],              11 02 04.314  , -62 09 42.84  , Cat. 1,        0.82 0.05, 3.36 0.1 ,  7600,   84, 1989.0  , 0.25, yes,  0.1,      ,     , a
IRAS11118-5726,  [GKCar],                11 14 01.3    , -57 43 09.    , Cat. 1,        0.49 0.05, 4.06 0.03,  5500,   64,         ,     , no , -1.3,  1.2 , 1000, a
IRAS11235-5921,  [CN Cen],               11 25 47.87   , -59 37 55.9   , Cat. 1,        0.43 0.03, 3.29 0.03,  5000,   45,         ,     , no , -1.0,      ,     , b
IRAS11385-5517,  [HD101584],             11 40 58.80553, -55 34 25.8169, Cat. 1,        1.12 0.26, 3.53 0.19,  7000,  135,         ,     , no ,  0.0,      ,     , j
IRAS12185-4856,  [SX Cen],               12 21 12.6    , -49 12 41.    , Cat. 1,        0.65 0.04, 3.46 0.06,  6000,   30,  564.3  , 0.0 , yes, -1.0,  1.5 , 1100, a
IRAS12222-4652,  [HD108015],             12 24 53.501  , -47 09 07.51  , Cat. 1,        1.02 0.05, 3.93 0.09,  7000,  108,  906.3  , 0.0 , no , -0.1,  0.1 ,     , a
IRAS13085-6747,  [PX Mus],               13 11 57.46   , -68 03 35.3   , Cat. 1,        0.46 0.03, 2.8  0.03,  5000,   12,  770.   ,     , yes,  0.0,      ,     , b
IRAS13258-8103,  [],                     13 31 07.1    , -81 18 30.    , Cat. 1,        1.06 0.03, 3.09 0.04,  6000,  284,         ,     , no ,  0.0,      ,     , a
IRAS14524-6838,  [EN TrA HD131356],     14 57 00.684  , -68 50 22.879 , Cat. 1,        0.63 0.04, 3.57 0.08,  6000,   78, 1488.   , 0.32, no , -0.5,  0.55, 1300, a
IRAS15469-5311,      [],                 15 50 44.0    , -53 20 44.    , Cat. 1,        1.06 0.05, 3.36 0.09,  7500,   95,  390.2  , 0.08, no ,  0.0,  1.8 , 1300, a
IRAS16230-3410,       [],                16 26 20.29   , -34 17 12.3   , Cat. 1,        0.6  0.05, 3.95 0.04,  6250,   53,  649.8  , 0.0 , no , -0.5,  1.0 , 1500, a
IRAS17038-4815,        [],               17 07 36.3    , -48 19 08.    , Cat. 1,        0.46 0.04, 4.25 0.06,  4750,   91, 1394.0  , 0.63, no , -1.5,  0.7 , 1400, a
IRAS17111-1819, [HD155720],             17 14 03.070  , -18 22 39.513 , Cat. 1,        0.36 0.04, 3.36 0.05,  4250,   19,  712.   ,     , no , -1.0,      ,     , n
IRAS17243-4348, [LR Sco],               17 27 56.1    , -43 50 48.    , Cat. 1,        0.79 0.04, 3.4  0.07,  6250,   79,  475.   ,     , no ,  0.0,  0.8 , 1400, a
IRAS17250-5951, [UY Ara],               17 29 28.9495 , -59 54 02.040 , Cat. 1,        0.53 0.03, 3.55 0.03,  5500,   52,         ,     , no , -1.0,  1.4 , 1000, b
IRAS17279-1119, [HD 158616 V340 Sgr], 17 30 46.9247 , -11 22 08.283 , Cat. 1,        0.69 0.05, 2.5  0.06,  7400,   29,  363.3  , 0.0 , no , -0.7,  0.0 ,     , b
IRAS17534+2603, [89 Her],               17 55 25.1889 , +26 02 59.966 , Cat. 1,        0.61 0.28, 3.06     ,  6500,   42,  289.1  , 0.29, no ,  0.0,  0.6 , 1500, a
IRAS17530-3348, [AI Sco],               17 56 18.5    , -33 48 47.    , Cat. 1,        0.61 0.04, 3.1  0.08,  5000,   60,  977.   ,     , yes,  0.0,  0.3 , 1100, a
IRAS18123+0511, []      ,               18 14 49.4    , +05 12 55.    , Cat. 1,        0.64 0.04, 3.77 0.07,  5000,  117,         ,     , no ,  0.0,      ,     , a
IRAS18548-0552, [BZ Sct],               18 57 33.42   , -05 47 55.7   , Cat. 1,        0.48 0.03, 4.42 0.03,  6250,   63,         ,     , no , -0.8,  1.3 , 1000, k
IRAS19135+3937, []       ,              19 15 12.5    , +39 42 51.0   , Cat. 1,        0.56 0.03, 3.16 0.04,  6000,   28,  126.97 , 0.13, no , -0.5,  0.5 , 1500, l
