name,P_d,i_deg,M1_Msun,M2_Msun,R1_Rsun,R2_Rsun,T1_K,T2_K,logg1,logg2,P_d_err,i_deg_err,M1_Msun_err,M2_Msun_err,R1_Rsun_err,R2_Rsun_err,T1_K_err,T2_K_err,logg1_err,logg2_err,simbad_name,simbad_name_ptf,RA,Dec,SpType,simbad_resolved_name,simbad_ids,MAIN_ID
1600y^RV,1.183892,84.5,1.62,0.17,2.41,0.46,6930.0,8900.0,3.88,4.33,8e-07,2.7,0.04,0.01,0.07,0.02,100.0,110.0,0.02,0.03,PTF1 J004040.23+412521.6,PTF J004040.23+412521.6,152.51474753639994,41.4226672752,F0,PTF1 J004040.23+412521.6,,
1600ad^RV,1.0840448,86.5,1.76,0.23,1.83,0.35,8050.0,10490.0,4.16,4.72,1e-06,2.2,0.04,0.01,0.05,0.02,120.0,200.0,0.02,0.04,PTF1 J004300.75+381537.2,PTF J004300.75+381537.2,161.29706442389997,38.26033352340999,,PTF1 J004300.75+381537.2,,
1700do,3.0507582,87.4,2.4,0.81,2.34,0.33,9890.0,17100.0,4.08,5.31,2.78e-05,1.8,0.06,0.25,0.13,0.03,90.0,1400.0,0.04,0.15,PTF1 J005424.06+411126.9,PTF J005424.06+411126.9,204.00387047865001,41.19083315388999,,PTF1 J005424.06+411126.9,,
1600aa,0.6934558,78.7,1.67,0.5,1.67,0.55,7880.0,9300.0,4.21,4.67,6e-07,0.9,0.05,0.09,0.04,0.02,190.0,400.0,0.02,0.09,PTF1 J005659.72+130920.6,PTF J005659.72+130920.6,213.73258854344994,13.15576605709,,PTF1 J005659.72+130920.6,,
1601p^RV,1.2215885,83.8,1.82,0.14,1.65,0.34,8600.0,11700.0,4.26,4.54,5.1e-06,3.2,0.06,0.02,0.14,0.04,160.0,500.0,0.06,0.1,PTF1 J011909.91+435907.1,PTF J011909.91+435907.1,296.86946369699996,43.98531469788,A2IV,PTF1 J011909.91+435907.1,,
1501bh^RV,0.6204144,78.4,1.3,0.12,1.23,0.2,6870.0,11100.0,4.38,4.91,5e-07,1.9,0.04,0.01,0.07,0.01,110.0,400.0,0.04,0.06,PTF1 J012814.72+040551.9,PTF J012814.72+040551.9,330.91963339619997,4.09773396083,,PTF1 J012814.72+040551.9,,
1601q,1.2515058,80.5,1.85,0.3,1.93,0.46,8300.0,10700.0,4.13,4.58,5.1e-06,2.9,0.08,0.18,0.15,0.04,200.0,700.0,0.05,0.4,PTF1 J013336.92+470600.1,PTF J013336.92+470600.1,351.05812131179994,47.10005892964,A1IV,PTF1 J013336.92+470600.1,,
1601cl^RV,0.8917354,82.9,2.02,0.28,2.44,0.52,8290.0,10100.0,3.97,4.45,5e-07,2.9,0.06,0.01,0.07,0.02,200.0,300.0,0.02,0.03,PTF1 J014839.10+382314.5,PTF J014839.10+382314.5,47.44451490689991,38.38735589144999,A1IV,PTF1 J014839.10+382314.5,,
1402de,0.6189694,87.0,1.61,0.36,1.56,0.45,7860.0,9300.0,4.27,4.69,1.1e-06,2.5,0.04,0.13,0.07,0.02,150.0,300.0,0.03,0.23,PTF1 J021913.15+215921.9,PTF J021913.15+215921.9,162.07245371204993,21.989455565479993,,PTF1 J021913.15+215921.9,,
1607aa,0.846312,84.6,1.85,0.3,1.81,0.38,8470.0,10300.0,4.19,4.76,1.6e-06,3.4,0.05,0.07,0.08,0.02,160.0,300.0,0.03,0.13,PTF1 J071207.01+211654.9,PTF J071207.01+211654.9,180.4380208698,21.281958477939998,,PTF1 J071207.01+211654.9,,
1607v,0.7198356,82.6,1.58,0.2,1.83,0.16,7260.0,10900.0,4.11,5.32,2e-06,5.8,0.06,0.05,0.16,0.03,120.0,500.0,0.06,0.24,PTF1 J075310.42+835154.7,PTF J075310.42+835154.7,334.39823459804995,83.86520815441,,PTF1 J075310.42+835154.7,,
1607t^RV,0.8759507,76.6,1.4,0.16,1.87,0.38,6600.0,8600.0,4.04,4.48,4e-07,1.0,0.05,0.01,0.05,0.01,140.0,200.0,0.02,0.03,PTF1 J075642.49+162143.9,PTF J075642.49+162143.9,347.6558784748498,16.36221152416,,PTF1 J075642.49+162143.9,,
